 , T1, T2, T3, T4, T5, T6, T7, T8, T9
mmu-miR-455*,0.251192958,0.228005051,0.248015416,0.277152598,0.313261595,0.396246578,0.373291345,0.439635563,0.449947087
mmu-miR-210,0.149400035,0.163348724,0.156987651,0.164822386,0.194716183,0.296042774,0.518642359,0.559056971,0.891944569
mmu-miR-455,0.134302133,0.136216656,0.235144903,0.254784012,0.250133653,0.329110296,0.348475493,0.396420452,0.44931937
mmu-miR-99a,0.114175336,0.122480121,0.158550176,0.219906883,0.285236064,0.397977079,0.602597034,0.633904284,0.812516147
mmu-miR-140,0.578865151,0.663257025,0.656362689,0.632749775,0.582994689,0.588547238,0.556998934,0.600878364,0.629157722
mmu-miR-665,0.310283302,0.638965465,0.707427933,0.531830588,0.667519985,0.623333347,0.993632586,0.733964119,0.959834303
mmu-miR-21,2.201220639,1.330557936,1.570357678,1.496230188,1.400821292,1.555364126,1.349783715,1.19992807,1.148103563
mmu-miR-193b,0.479309874,0.509819073,0.978146546,1.24270423,1.494485386,1.800601542,1.581591357,1.697961442,1.571252898
mmu-miR-140*,0.594754396,0.641889561,0.537785458,0.585611727,0.539982914,0.577924979,0.522841087,0.5524365,0.578915462
mmu-miR-181a,0.257289591,0.419227559,0.594739357,0.629363684,0.642669641,0.695161474,0.817201963,0.888791567,0.870180968
mmu-miR-762,0.136458532,0.356047897,0.51260745,0.41033515,0.651826529,0.741958381,1.380005746,1.099764762,0.972294592
mmu-miR-181b,0.590177096,0.713922612,0.765560367,0.73011309,0.749804993,0.762466963,0.762281308,0.929501711,0.923344612
mmu-miR-706,3.06725359,0.991685354,0.727355119,0.886718778,0.809254643,0.755516017,0.710833483,0.690285869,0.867458535
mmu-miR-149,0.626181232,0.552436095,0.552395742,0.542778749,0.525080988,0.661056088,0.740412085,0.843842557,0.972823774
mmu-miR-483,0.895777661,1.103326011,0.816901245,0.655504434,0.672834428,0.663166656,0.891387159,0.763889435,1.066623631
mmu-miR-148a,0.215079924,0.328039413,0.510511408,0.559164063,0.567012646,0.661350815,0.858899598,0.862138095,0.903582163
mmu-miR-29b,2.262945581,0.916507161,1.039947116,1.371169118,1.266411226,1.39107426,1.055428412,1.002011996,0.945405598
mmu-miR-365,0.506824773,0.5364519,1.018159721,1.345123176,1.37399089,1.622754808,1.585344037,1.676658859,1.693159542
